,Course Subject,Course Number,Topic,URI Generated,Correct/Not Correct ,Correct URI
1,COMP,691,Computer Science,http://dbpedia.org/resource/Computer_science,Correct,
2,SOEN,6011,Version control,http://dbpedia.org/resource/Version_control,Correct,
3,SOEN,6011,code review,http://dbpedia.org/resource/Code_review,Correct,
4,SOEN,6011,Continuous integration,http://dbpedia.org/resource/Continuous_integration,Correct,
5,SOEN,6021,software metrics,http://dbpedia.org/resource/Software_metric,Correct,
6,COMP,6231,distributed computing,http://dbpedia.org/resource/Distributed_computing,Correct,
7,COMP,6231,scalability,http://dbpedia.org/resource/Scalability,Correct,
8,COMP,6231,concurrency,http://dbpedia.org/resource/Concurrent_computing,Correct,
9,COMP,6231,fault tolerance,http://dbpedia.org/resource/Fault_tolerance,Correct,
10,COMP,6231,server,http://dbpedia.org/resource/Web_server,Incorrect,https://en.wikipedia.org/wiki/Server_(computing)
11,COMP,6281,heterogeneous computing,http://dbpedia.org/resource/Heterogeneous_computing,Correct,
12,COMP,6281,Parallel programming,http://dbpedia.org/resource/Parallel_computing,Correct,
13,SOEN,6311,software life-cycle,http://dbpedia.org/resource/Software_release_life_cycle,Correct,
14,SOEN,6311,Software development,http://dbpedia.org/resource/Software_development,Correct,
15,COMP,6321,logistic regression,http://dbpedia.org/resource/Logistic_regression,Correct,
16,COMP,6321,neural networks,http://dbpedia.org/resource/Artificial_neural_network,Correct,
17,COMP,6321,Unsupervised learning,http://dbpedia.org/resource/Unsupervised_learning,Correct,
18,COMP,6321,k-means,http://dbpedia.org/resource/K-means_clustering,Correct,
19,COMP,6321,Reinforcement learning,http://dbpedia.org/resource/Reinforcement_learning,Correct,
20,COMP,6331,Artificial Intelligence,http://dbpedia.org/resource/Artificial_intelligence,Correct,
21,COMP,6331,AI,http://dbpedia.org/resource/Artificial_intelligence,Correct,
22,COMP,6341,Computer Vision,http://dbpedia.org/resource/Computer_vision,Correct,
23,COMP,6341,OpenCV,http://dbpedia.org/resource/OpenCV,Correct,
24,COMP,6351,partial differential equations,http://dbpedia.org/resource/Partial_differential_equation,Correct,
25,COMP,6361,Numerical Analysis,http://dbpedia.org/resource/Numerical_analysis,Correct,
26,COMP,6381,reverse engineering,http://dbpedia.org/resource/Reverse_engineering,Correct,
27,SOEN,6431,software maintenance,http://dbpedia.org/resource/Software_maintenance,Correct,
28,SOEN,6441,unit tests,http://dbpedia.org/resource/Unit_testing,Correct,
29,SOEN,6441,multi-threading,http://dbpedia.org/resource/Thread_(computing),Incorrect,https://en.wikipedia.org/wiki/Multithreading_(computer_architecture)
30,SOEN,6441,code reuse,http://dbpedia.org/resource/Code_reuse,Correct,
31,COMP,6461,multicasting,http://dbpedia.org/resource/Multicast,Correct,
32,COMP,6461,UDP,http://dbpedia.org/resource/User_Datagram_Protocol,Correct,
33,COMP,6461,Network security,http://dbpedia.org/resource/Network_security,Correct,
34,SOEN,6461,object-oriented,http://dbpedia.org/resource/Object-oriented_design,Correct,
35,SOEN,6461,design patterns,http://dbpedia.org/resource/Software_design_pattern,Correct,
36,SOEN,6471,cloud computing,http://dbpedia.org/resource/Cloud_computing,Correct,
37,SOEN,6481,requirements engineering,http://dbpedia.org/resource/Requirements_engineering,Correct,
38,SOEN,6481,formal languages,http://dbpedia.org/resource/Formal_language,Correct,
39,SOEN,6481,quality assurance,http://dbpedia.org/resource/Quality_assurance,Correct,
40,SOEN,6481,UML,http://dbpedia.org/resource/Unified_Modeling_Language,Correct,
41,COMP,6521,optimization,http://dbpedia.org/resource/Query_optimization,Correct,
42,COMP,6521,Data warehouse,http://dbpedia.org/resource/Data_warehouse,Correct,
43,COMP,6521,Data mining,http://dbpedia.org/resource/Data_mining,Correct,
44,COMP,6521,XML,http://dbpedia.org/resource/XML,Correct,
45,COMP,6521,multimedia,http://dbpedia.org/resource/Multimedia,Correct,
46,COMP,6591,first-order logic,http://dbpedia.org/resource/First-order_logic,Correct,
47,COMP,6591,relational algebra,http://dbpedia.org/resource/Relational_algebra,Correct,
48,COMP,6591,relational calculus,http://dbpedia.org/resource/Relational_calculus,Correct,
49,COMP,6641,Turing machines,http://dbpedia.org/resource/Turing_machine,Correct,
50,COMP,6641,recursive functions,http://dbpedia.org/resource/Computable_function,Incorrect,https://en.wikipedia.org/wiki/Recursion_(computer_science)
51,COMP,6651,algorithm,http://dbpedia.org/resource/Algorithm,Correct,
52,COMP,6651,complexity analysis,http://dbpedia.org/resource/Analysis_of_algorithms,Correct,
53,COMP,6651,NP-complete,http://dbpedia.org/resource/NP-completeness,Correct,
54,COMP,6711,point location,http://dbpedia.org/resource/Point_location,Correct,
55,COMP,6711,robot,http://dbpedia.org/resource/Robotics,Correct,
56,COMP,6711,motion planning,http://dbpedia.org/resource/Motion_planning,Correct,
57,COMP,6711,computer graphics,http://dbpedia.org/resource/Computer_graphics,Correct,
58,COMP,6731,Pattern Recognition,http://dbpedia.org/resource/Pattern_recognition,Correct,
59,COMP,6731,Feature extraction,http://dbpedia.org/resource/Feature_extraction,Correct,
60,COMP,6751,natural language processing,http://dbpedia.org/resource/Natural-language_processing,Incorrect,https://en.wikipedia.org/wiki/Natural_language_processing
61,COMP,6751,text mining,http://dbpedia.org/resource/Text_mining,Correct,
62,SOEN,6751,User interface design,http://dbpedia.org/resource/User_interface_design,Correct,
63,SOEN,6751,User interface,http://dbpedia.org/resource/User_interface,Correct,
64,COMP,6761,software engineering,http://dbpedia.org/resource/Software_engineering,Correct,
65,COMP,6761,collision detection,http://dbpedia.org/resource/Collision_detection,Correct,
66,COMP,6761,physics,http://dbpedia.org/resource/Game_physics,Correct,
67,COMP,6771,frequency domain,http://dbpedia.org/resource/Frequency_domain,Correct,
68,COMP,6771,image segmentation,http://dbpedia.org/resource/Image_segmentation,Correct,
69,COMP,6771,Hough transform,http://dbpedia.org/resource/Hough_transform,Correct,
70,COMP,6771,edge detection,http://dbpedia.org/resource/Edge_detection,Correct,
71,COMP,6781,N-gram,http://dbpedia.org/resource/N-gram,Correct,
72,COMP,6781,part-of-speech tagging,http://dbpedia.org/resource/Part-of-speech_tagging,Correct,
73,COMP,6781,parsing,http://dbpedia.org/resource/Parsing,Correct,
74,COMP,6791,Information Retrieval,http://dbpedia.org/resource/Information_retrieval,Correct,
75,COMP,6791,vector space,http://dbpedia.org/resource/Vector_space,Correct,
76,COMP,6791,Tokenization,http://dbpedia.org/resource/Lexical_analysis,Correct,
77,COMP,6811,dynamic programming,http://dbpedia.org/resource/Dynamic_programming,Correct,
78,COMP,6821,database,http://dbpedia.org/resource/Database,Correct,
79,SOEN,6841,risk management,http://dbpedia.org/resource/Risk_management,Correct,
80,SOEN,6861,Service Oriented Architecture,http://dbpedia.org/resource/Service-oriented_architecture,Correct,
81,SOEN,6861,Web services,http://dbpedia.org/resource/Web_service,Correct,
82,SOEN,6861,SOAP,http://dbpedia.org/resource/SOAP,Correct,
83,COMP,7251,mobile computing,http://dbpedia.org/resource/Mobile_computing,Correct,
84,COMP,7251,PAN,http://dbpedia.org/resource/Personal_area_network,Correct,
85,COMP,7251,MAN,http://dbpedia.org/resource/Metropolitan_area_network,Correct,
86,COMP,7251,topology,http://dbpedia.org/resource/Network_topology,Correct,
87,COMP,7451,distributed systems,http://dbpedia.org/resource/Distributed_computing,Correct,
88,COMP,7521,cryptographic,http://dbpedia.org/resource/Cryptography,Correct,
89,COMP,7521,authentication,http://dbpedia.org/resource/Authentication,Correct,
90,COMP,7521,data integrity,http://dbpedia.org/resource/Data_integrity,Correct,
91,COMP,7521,confidentiality,http://dbpedia.org/resource/Confidentiality,Correct,
92,COMP,7521,access control,http://dbpedia.org/resource/Access_control,Correct,
93,SOEN,6481,IEEE,http://dbpedia.org/resource/Institute_of_Electrical_and_Electronics_Engineers,Correct,
94,SOEN,6481,ISO,http://dbpedia.org/resource/International_Organization_for_Standardization,Correct,
95,SOEN,6481,Agile,http://dbpedia.org/resource/Agile_software_development,Correct,
96,SOEN,6481,user stories,http://dbpedia.org/resource/User_story,Correct,
97,SOEN,6481,formal specification,http://dbpedia.org/resource/Formal_specification,Correct,
98,SOEN,6861,RESTful,http://dbpedia.org/resource/Representational_state_transfer,Correct,
99,SOEN,6491,Refactoring,http://dbpedia.org/resource/Code_refactoring,Correct,
100,SOEN,6211,Semantic Web,http://dbpedia.org/resource/Semantic_Web,Correct,
